time,heading_ang,pos_x,pos_y,vel_x,vel_y,accel_x,accel_y
0,45,132,360,473.76154339498686,473.7615433949868,0,500
0.002,44.939467130812645,118,375,473.76154339498686,472.7615433949868,0,500
0.008,44.75710001349446,121,378,473.76154339498686,469.7615433949868,0,500
0.015,44.54287375006453,125,382,473.76154339498686,466.2615433949868,0,500
0.02,44.3888832437279,127,384,473.76154339498686,463.7615433949868,0,500
0.025,44.23407818252557,129,386,473.76154339498686,461.2615433949868,0,500
0.033,43.984685323622244,133,390,473.76154339498686,457.2615433949868,0,500
0.035,43.92200759120194,134,391,473.76154339498686,456.2615433949868,0,500
0.041,43.7331792581733,137,394,473.76154339498686,453.2615433949868,0,500
0.044,43.638316169558195,138,395,473.76154339498686,451.7615433949868,0,500
0.046,43.57490722946918,139,396,473.76154339498686,450.7615433949868,0,500
0.05,43.447687631507556,141,398,473.76154339498686,448.7615433949868,0,500
0.057,43.22375892195781,145,401,473.76154339498686,445.2615433949868,0,500
0.061,43.095056329351486,146,402,473.76154339498686,443.2615433949868,0,500
0.067,42.90098315702207,149,405,473.76154339498686,440.2615433949868,0,500
0.074,42.67300999646631,153,408,473.76154339498686,436.7615433949868,0,500
0.077,42.5747921096599,154,409,473.76154339498686,435.2615433949868,0,500
0.08,42.476263875020926,155,411,473.76154339498686,433.7615433949868,0,500
0.083,42.37742440476902,157,412,473.76154339498686,432.2615433949868,0,500
0.09,42.14558364013464,160,415,473.76154339498686,428.7615433949868,0,500
0.093,42.04570032971254,162,416,473.76154339498686,427.2615433949868,0,500
0.1,41.81141251927052,165,419,473.76154339498686,423.7615433949868,0,500
0.104,41.67675933932057,167,421,473.76154339498686,421.7615433949868,0,500
0.109,41.50764695747853,170,422,473.76154339498686,419.2615433949868,0,500
0.116,41.26939673605402,173,425,473.76154339498686,415.7615433949868,0,500
0.119,41.166753927354485,175,426,473.76154339498686,414.2615433949868,0,500
0.122,41.063788535626514,176,428,473.76154339498686,412.7615433949868,0,500
0.126,40.92599807365961,178,429,473.76154339498686,410.7615433949868,0,500
0.133,40.68347510628362,182,432,473.76154339498686,407.2615433949868,0,500
0.136,40.57899307339253,183,433,473.76154339498686,405.7615433949868,0,500
0.142,40.369046013670456,186,436,473.76154339498686,402.7615433949868,0,500
0.149,40.12244376006266,189,439,473.76154339498686,399.2615433949868,0,500
0.152,40.0162060508657,191,440,473.76154339498686,397.7615433949868,0,500
0.159,39.76702630425226,194,443,473.76154339498686,394.2615433949868,0,500
0.163,39.62382282405867,196,444,473.76154339498686,392.2615433949868,0,500
0.167,39.480024187993735,198,446,473.76154339498686,390.2615433949868,0,500
0.175,39.19063388253057,201,449,473.76154339498686,386.2615433949868,0,500
0.18,39.008545521688276,204,451,473.76154339498686,383.7615433949868,0,500
0.183,38.89884040501798,205,452,473.76154339498686,382.2615433949868,0,500
0.191,38.60462902138902,209,455,473.76154339498686,378.2615433949868,0,500
0.195,38.45661208235978,211,456,473.76154339498686,376.2615433949868,0,500
0.201,38.23344259500267,214,459,473.76154339498686,373.2615433949868,0,500
0.204,38.121341406121545,215,460,473.76154339498686,371.7615433949868,0,500
0.209,37.93373844988519,218,462,473.76154339498686,369.2615433949868,0,500
0.212,37.82071490919939,219,463,473.76154339498686,367.7615433949868,0,500
0.217,37.631570428492076,221,465,473.76154339498686,365.2615433949868,0,500
0.225,37.326925038892576,225,467,473.76154339498686,361.2615433949868,0,500
0.228,37.212041625423105,227,469,473.76154339498686,359.7615433949868,0,500
0.234,36.98122138220125,229,471,473.76154339498686,356.7615433949868,0,500
0.242,36.67126835535109,233,474,473.76154339498686,352.7615433949868,0,500
0.245,36.55438763972485,235,475,473.76154339498686,351.2615433949868,0,500
0.251,36.319561679500495,237,477,473.76154339498686,348.2615433949868,0,500
0.255,36.16222049136324,239,478,473.76154339498686,346.2615433949868,0,500
0.258,36.04379852690798,241,479,473.76154339498686,344.7615433949868,0,500
0.266,35.72625818973481,245,482,473.76154339498686,340.7615433949868,0,500
0.269,35.606523228403816,246,483,473.76154339498686,339.2615433949868,0,500
0.275,35.365974427541026,249,485,473.76154339498686,336.2615433949868,0,500
0.279,35.20480760819575,251,486,473.76154339498686,334.2615433949868,0,500
0.284,35.002445757697885,253,488,473.76154339498686,331.7615433949868,0,500
0.288,34.83983209714274,255,489,473.76154339498686,329.7615433949868,0,500
0.292,34.67657340686211,257,491,473.76154339498686,327.7615433949868,0,500
0.3,34.34811625528076,261,493,473.76154339498686,323.7615433949868,0,500
0.304,34.182915536141145,263,494,473.76154339498686,321.7615433949868,0,500
0.309,33.97550109297452,265,496,473.76154339498686,319.2615433949868,0,500
0.316,33.683411979583575,268,498,473.76154339498686,315.7615433949868,0,500
0.32,33.51560697191079,270,500,473.76154339498686,313.7615433949868,0,500
0.326,33.26267387141357,273,501,473.76154339498686,310.7615433949868,0,500
0.329,33.135654994281744,274,502,473.76154339498686,309.2615433949868,0,500
0.334,32.923137372128174,277,504,473.76154339498686,306.7615433949868,0,500
0.342,32.58097507084613,282,505,473.76154339498686,302.7615433949868,0,500
